"URL","PageType","Status","InboundLinks","Title","TitleLen","MetaDescription","MetaDescLen","H1","H1Count","H2Count","H3Count","Canonical","MetaRobots","OGTitle","OGDescription","OGImage","OGType","TwitterCard","SchemaTypes","WordCount","Images","ImgNoAlt","ImgEmptyAlt","PageSizeKB","ResponseMs","Lang"
"https://houseofvacation.com/blog/","Blog Index","200","30","Blog - House of Vacations","25","","0","","0","3","1","https://houseofvacation.com/blog/","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large","Blog - House of Vacations","Test blog pag e","","website","summary_large_image","TravelAgency, ImageObject, WebSite, BreadcrumbList, ListItem, CollectionPage","146","4","1","1","159","522","en-US"
"https://houseofvacation.com/new-blog/","Blog Post","200","14","new blog - House of Vacations","29","Test blog pag e","15","new blog","1","1","2","https://houseofvacation.com/new-blog/","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large","new blog - House of Vacations","Test blog pag e","","article","summary_large_image","ImageObject, WebSite, BreadcrumbList, ListItem, WebPage, Person, BlogPosting","155","4","1","1","169","105","en-US"
"https://houseofvacation.com/hello-world/","Blog Post (WP default)","200","15","Hello world! - House of Vacations","33","Welcome to WordPress. This is your first post. Edit or delete it, then start writing!","85","Hello world!","1","1","3","https://houseofvacation.com/hello-world/","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large","Hello world! - House of Vacations","Welcome to WordPress. This is your first post. Edit or delete it, then start writing!","","article","summary_large_image","ImageObject, WebSite, BreadcrumbList, ListItem, WebPage, Person, BlogPosting","208","5","1","2","171","65","en-US"
"https://houseofvacation.com/","Homepage","200","100","MICE Company in India | Corporate Travel Agency","47","Welcome to HOV, your Trusted MICE Company in India, offering end-to-end solutions for corporate travel, events, and incentive tours | Contact us","144","Corporate Travel Agency – Trusted MICE Company in India","1","23","23","https://houseofvacation.com/","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large","MICE Company in India | Corporate Travel Agency","Welcome to HOV, your Trusted MICE Company in India, offering end-to-end solutions for corporate travel, events, and incentive tours | Contact us","","website","summary_large_image","ImageObject, WebSite, SearchAction, WebPage, Person, Article","1647","28","1","10","344","462","en-US"
"https://houseofvacation.com/contact-us/","Contact","200","38","Contact us - House of Vacations","31","Phone Number:","13","","0","2","1","https://houseofvacation.com/contact-us/","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large","Contact us - House of Vacations","Phone Number:","","article","summary_large_image","ImageObject, WebSite, BreadcrumbList, ListItem, WebPage, Person, Article","198","4","1","1","193","296","en-US"
"https://houseofvacation.com/corporate-travel-agency-in-bangalore/","Location Service Page","200","30","Corporate Travel Agency in Bangalore | MICE Company in Bangalore","64","Leading Corporate Travel Agency in Bangalore for MICE & events. Travel smart, plan better—partner with House of Vacations today! | Contact us at +91 9220470800","159","Corporate Travel Agency in Bangalore | MICE Company in Bangalore ","1","15","14","https://houseofvacation.com/corporate-travel-agency-in-bangalore/","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large","Corporate Travel Agency in Bangalore | MICE Company in Bangalore","Leading Corporate Travel Agency in Bangalore for MICE & events. Travel smart, plan better—partner with House of Vacations today! | Contact us at +91 9220470800","https://houseofvacation.com/wp-content/uploads/2025/07/MICE-3.jpg","article","summary_large_image","ImageObject, WebSite, BreadcrumbList, ListItem, WebPage, Person, Article","1244","5","1","1","206","114","en-US"
"https://houseofvacation.com/mice-company-in-gurugram/","Location Service Page","200","30","MICE Company in Gurugram| MICE Travel Agency in Gurugram","56","Welcome to House of Vacations, your Trusted MICE Company in Gurugram, offering end-to-end solutions for corporate travel, events, and incentive tours | Contact us","162","MICE Company in Gurugram | MICE Travel Agency in Gurugram ","1","8","8","https://houseofvacation.com/mice-company-in-gurugram/","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large","MICE Company in Gurugram| MICE Travel Agency in Gurugram","Welcome to House of Vacations, your Trusted MICE Company in Gurugram, offering end-to-end solutions for corporate travel, events, and incentive tours | Contact us","https://houseofvacation.com/wp-content/uploads/2025/07/Mice-Company-in-Gurugram.jpg","article","summary_large_image","ImageObject, WebSite, BreadcrumbList, ListItem, WebPage, Person, Article","1229","6","1","1","196","83","en-US"
"https://houseofvacation.com/mice-company-in-noida/","Location Service Page","200","30","Mice Company in Noida | Corporate Travel Agency in Noida","56","Welcome to HOV, your Trusted Mice Company in Noida, offering end-to-end solutions for corporate travel, events, and tours | Contact us Today","140","Mice Company in Noida | Corporate Travel Agency in Noida ","1","15","18","https://houseofvacation.com/mice-company-in-noida/","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large","Mice Company in Noida | Corporate Travel Agency in Noida","Welcome to HOV, your Trusted Mice Company in Noida, offering end-to-end solutions for corporate travel, events, and tours | Contact us Today","https://houseofvacation.com/wp-content/uploads/2025/07/MICE-6.jpg","article","summary_large_image","ImageObject, WebSite, BreadcrumbList, ListItem, WebPage, Person, Article","1031","5","1","1","205","79","en-US"
"https://houseofvacation.com/corporate-event-planners-in-pune/","Location Service Page","200","30","Corporate Event Planners In Pune | event planning in pune","57","Welcome to HOV, your Trusted Corporate MICE Event Planners in Pune, offering end-to-end solutions for corporate travel, events, and incentive tours | Contact us","160","Corporate MICE Event Planners in Pune ","1","6","11","https://houseofvacation.com/corporate-event-planners-in-pune/","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large","Corporate Event Planners In Pune | event planning in pune","Welcome to HOV, your Trusted Corporate MICE Event Planners in Pune, offering end-to-end solutions for corporate travel, events, and incentive tours | Contact us","https://houseofvacation.com/wp-content/uploads/2025/07/MICE-2-1.webp","article","summary_large_image","ImageObject, WebSite, BreadcrumbList, ListItem, WebPage, Person, Article","1030","5","1","1","193","317","en-US"
"https://houseofvacation.com/corporate-travel-agency-in-mumbai/","Location Service Page","200","30","Corporate Travel Agency in Mumbai | Mice Company In Mumbai","58","Welcome to HOV, your Trusted Corporate Travel Agency in Mumbai, offering end-to-end solutions for corporate travel, events, and incentive tours | Contact us","156","Corporate Travel Agency in Mumbai | Mice Travel Agent in Mumbai ","1","11","18","https://houseofvacation.com/corporate-travel-agency-in-mumbai/","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large","Corporate Travel Agency in Mumbai | Mice Company In Mumbai","Welcome to HOV, your Trusted Corporate Travel Agency in Mumbai, offering end-to-end solutions for corporate travel, events, and incentive tours | Contact us","https://houseofvacation.com/wp-content/uploads/2025/06/hov-mice-team-before-flight.webp","article","summary_large_image","ImageObject, WebSite, BreadcrumbList, ListItem, WebPage, Person, Article","1301","6","1","1","208","112","en-US"
